Package,Version,URL,Status,Bloom Log,Build Log,Deb File,Installed Files
roslz4,1.17.0-12-g2a12474fb-2024.12.03.17.26,https://github.com/ros-o/ros_comm/tree/obese-devel,success,roslz4_1.17.0-12-g2a12474fb-2024.12.03.17.26-bloom_generate.log,ros-one-roslz4_1.17.0-12-g2a12474fb-2024.12.03.17.26_amd64-2024-12-03T17:26:56Z.build,ros-one-roslz4_1.17.0-12-g2a12474fb-2024.12.03.17.26_amd64.deb,ros-one-roslz4_1.17.0-12-g2a12474fb-2024.12.03.17.26_amd64.files
rosmaster,1.17.0-12-g2a12474fb-2024.12.03.17.27,https://github.com/ros-o/ros_comm/tree/obese-devel,success,rosmaster_1.17.0-12-g2a12474fb-2024.12.03.17.27-bloom_generate.log,ros-one-rosmaster_1.17.0-12-g2a12474fb-2024.12.03.17.27_amd64-2024-12-03T17:27:47Z.build,ros-one-rosmaster_1.17.0-12-g2a12474fb-2024.12.03.17.27_amd64.deb,ros-one-rosmaster_1.17.0-12-g2a12474fb-2024.12.03.17.27_amd64.files
rosparam,1.17.0-12-g2a12474fb-2024.12.03.17.28,https://github.com/ros-o/ros_comm/tree/obese-devel,success,rosparam_1.17.0-12-g2a12474fb-2024.12.03.17.28-bloom_generate.log,ros-one-rosparam_1.17.0-12-g2a12474fb-2024.12.03.17.28_amd64-2024-12-03T17:28:31Z.build,ros-one-rosparam_1.17.0-12-g2a12474fb-2024.12.03.17.28_amd64.deb,ros-one-rosparam_1.17.0-12-g2a12474fb-2024.12.03.17.28_amd64.files
rospy,1.17.0-12-g2a12474fb-2024.12.03.17.29,https://github.com/ros-o/ros_comm/tree/obese-devel,success,rospy_1.17.0-12-g2a12474fb-2024.12.03.17.29-bloom_generate.log,ros-one-rospy_1.17.0-12-g2a12474fb-2024.12.03.17.29_amd64-2024-12-03T17:29:16Z.build,ros-one-rospy_1.17.0-12-g2a12474fb-2024.12.03.17.29_amd64.deb,ros-one-rospy_1.17.0-12-g2a12474fb-2024.12.03.17.29_amd64.files
rosservice,1.17.0-12-g2a12474fb-2024.12.03.17.30,https://github.com/ros-o/ros_comm/tree/obese-devel,success,rosservice_1.17.0-12-g2a12474fb-2024.12.03.17.30-bloom_generate.log,ros-one-rosservice_1.17.0-12-g2a12474fb-2024.12.03.17.30_amd64-2024-12-03T17:30:01Z.build,ros-one-rosservice_1.17.0-12-g2a12474fb-2024.12.03.17.30_amd64.deb,ros-one-rosservice_1.17.0-12-g2a12474fb-2024.12.03.17.30_amd64.files
rostest,1.17.0-12-g2a12474fb-2024.12.03.17.30,https://github.com/ros-o/ros_comm/tree/obese-devel,success,rostest_1.17.0-12-g2a12474fb-2024.12.03.17.30-bloom_generate.log,ros-one-rostest_1.17.0-12-g2a12474fb-2024.12.03.17.30_amd64-2024-12-03T17:30:44Z.build,ros-one-rostest_1.17.0-12-g2a12474fb-2024.12.03.17.30_amd64.deb,ros-one-rostest_1.17.0-12-g2a12474fb-2024.12.03.17.30_amd64.files
shape_msgs,1.13.1-2024.12.03.17.31,https://github.com/ros/common_msgs/tree/noetic-devel,success,shape_msgs_1.13.1-2024.12.03.17.31-bloom_generate.log,ros-one-shape-msgs_1.13.1-2024.12.03.17.31_amd64-2024-12-03T17:31:35Z.build,ros-one-shape-msgs_1.13.1-2024.12.03.17.31_amd64.deb,ros-one-shape-msgs_1.13.1-2024.12.03.17.31_amd64.files
test_roslib_comm,1.17.0-12-g2a12474fb-2024.12.03.17.32,https://github.com/ros-o/ros_comm/tree/obese-devel,success,test_roslib_comm_1.17.0-12-g2a12474fb-2024.12.03.17.32-bloom_generate.log,ros-one-test-roslib-comm_1.17.0-12-g2a12474fb-2024.12.03.17.32_amd64-2024-12-03T17:32:25Z.build,ros-one-test-roslib-comm_1.17.0-12-g2a12474fb-2024.12.03.17.32_amd64.deb,ros-one-test-roslib-comm_1.17.0-12-g2a12474fb-2024.12.03.17.32_amd64.files
trajectory_msgs,1.13.1-2024.12.03.17.33,https://github.com/ros/common_msgs/tree/noetic-devel,success,trajectory_msgs_1.13.1-2024.12.03.17.33-bloom_generate.log,ros-one-trajectory-msgs_1.13.1-2024.12.03.17.33_amd64-2024-12-03T17:33:16Z.build,ros-one-trajectory-msgs_1.13.1-2024.12.03.17.33_amd64.deb,ros-one-trajectory-msgs_1.13.1-2024.12.03.17.33_amd64.files
visualization_msgs,1.13.1-2024.12.03.17.34,https://github.com/ros/common_msgs/tree/noetic-devel,success,visualization_msgs_1.13.1-2024.12.03.17.34-bloom_generate.log,ros-one-visualization-msgs_1.13.1-2024.12.03.17.34_amd64-2024-12-03T17:34:07Z.build,ros-one-visualization-msgs_1.13.1-2024.12.03.17.34_amd64.deb,ros-one-visualization-msgs_1.13.1-2024.12.03.17.34_amd64.files
